,0,1
0,Sr. Aguiló M. Sergio,Izquierda Ciudadana
1,Sr. Alvarado R. Miguel Ángel,Partido Por la Democracia
2,Sra. Alvarez V. Jenny,Partido Socialista
3,Sr. Alvarez-Salamanca R. Pedro Pablo,Unión Demócrata Independiente
4,Sr. Andrade L. Osvaldo,Partido Socialista
5,Sr. Arriagada M. Claudio,Partido Demócrata Cristiano
6,Sr. Auth S. Pepe,Independientes
7,Sr. Barros M. Ramón,Unión Demócrata Independiente
8,Sr. Becker A. Germán,Renovación Nacional
9,Sr. Bellolio A. Jaime,Unión Demócrata Independiente
10,Sr. Berger F. Bernardo,Renovación Nacional
11,Sr. Boric F. Gabriel,Independientes
12,Sr. Browne U. Pedro,Independientes
13,Sr. Campos J. Cristián,Partido Por la Democracia
14,Sra. Cariola O. Karol,Partido Comunista
15,Sr. Carmona S. Lautaro,Partido Comunista
16,Sra. Carvajal A. Loreto,Partido Por la Democracia
17,Sr. Castro G. Juan Luis,Partido Socialista
18,Sr. Ceroni F. Guillermo,Partido Por la Democracia
19,Sr. Chahin V. Fuad,Partido Demócrata Cristiano
20,Sr. Chávez V. Marcelo,Partido Demócrata Cristiano
21,Sra. Cicardini M. Daniella,Partido Socialista
22,Sr. Coloma A. Juan Antonio,Unión Demócrata Independiente
23,Sr. Cornejo G. Aldo,Partido Demócrata Cristiano
24,Sr. De Mussy H. Felipe,Unión Demócrata Independiente
25,Sr. Edwards S. Rojo,Renovación Nacional
26,Sr. Espejo Y. Sergio,Partido Demócrata Cristiano
27,Sr. Espinosa M. Marcos,Partido Radical Social Demócrata
28,Sr. Espinoza S. Fidel,Partido Socialista
29,Sr. Farcas G. Daniel,Partido Por la Democracia
30,Sr. Farías P. Ramón,Partido Por la Democracia
31,Sra. Fernández A. Maya,Partido Socialista
32,Sr. Flores G. Iván,Partido Demócrata Cristiano
33,Sr. Fuentes C. Iván,Independientes
34,Sr. Fuenzalida F. Gonzalo,Renovación Nacional
35,Sr. Gahona S. Sergio,Unión Demócrata Independiente
36,Sr. García G. René Manuel,Renovación Nacional
37,Sra. Girardi L. Cristina,Partido Por la Democracia
38,Sr. Godoy I. Joaquín,Amplitud
39,Sr. González T. Rodrigo,Partido Por la Democracia
40,Sr. Gutiérrez P. Romilio,Unión Demócrata Independiente
41,Sr. Gutiérrez G. Hugo,Partido Comunista
42,Sr. Hasbún S. Gustavo,Unión Demócrata Independiente
43,Sr. Hernández H. Javier,Unión Demócrata Independiente
44,Sra. Hernando P. Marcela,Partido Radical Social Demócrata
45,Sra. Hoffmann O. María José,Unión Demócrata Independiente
46,Sr. Jackson D. Giorgio,Revolución Democrática
47,Sr. Jaramillo B. Enrique,Partido Por la Democracia
48,Sr. Jarpa W. Carlos Abel,Partido Radical Social Demócrata
49,Sr. Jiménez F. Tucapel,Partido Por la Democracia
50,Sr. Kast S. Felipe,Evópoli
51,Sr. Kast R. José Antonio,Independientes
52,Sr. Kort G. Issa,Unión Demócrata Independiente
53,Sr. Lavín L. Joaquín,Unión Demócrata Independiente
54,Sr. Lemus A. Luis,Partido Socialista
55,Sr. León R. Roberto,Partido Demócrata Cristiano
56,Sr. Letelier N. Felipe,Partido Por la Democracia
57,Sr. Lorenzini B. Pablo,Partido Demócrata Cristiano
58,Sr. Macaya D. Javier,Unión Demócrata Independiente
59,Sr. Martínez L. Rosauro,Renovación Nacional
60,Sr. Melero A. Patricio,Unión Demócrata Independiente
61,Sr. Melo C. Daniel,Partido Socialista
62,Sr. Meza M. Fernando,Partido Radical Social Demócrata
63,Sr. Mirosevic V. Vlado,Partido Liberal de Chile
64,Sra. Molina O. Andrea,Unión Demócrata Independiente
65,Sr. Monckeberg B. Cristián,Renovación Nacional
66,Sr. Monckeberg D. Nicolás,Renovación Nacional
67,Sr. Monsalve B. Manuel,Partido Socialista
68,Sr. Morales M. Celso,Unión Demócrata Independiente
69,Sr. Morano C. Juan Enrique,Partido Demócrata Cristiano
70,Sra. Nogueira F. Claudia,Unión Demócrata Independiente
71,Sr. Norambuena F. Iván,Unión Demócrata Independiente
72,Sra. Núñez U. Paulina,Renovación Nacional
73,Sr. Núñez A. Daniel,Partido Comunista
74,Sr. Núñez L. Marco Antonio,Partido Por la Democracia
75,Sr. Ojeda U. Sergio,Partido Demócrata Cristiano
76,Sr. Ortiz N. José Miguel,Partido Demócrata Cristiano
77,Sra. Pacheco R. Clemira,Partido Socialista
78,Sra. Pascal A. Denise,Partido Socialista
79,Sr. Paulsen K. Diego,Renovación Nacional
80,Sr. Pérez L. Leopoldo,Renovación Nacional
81,Sr. Pérez A. José,Partido Radical Social Demócrata
82,Sr. Pilowsky G. Jaime,Partido Demócrata Cristiano
83,Sr. Poblete Z. Roberto,Independientes
84,Sra. Provoste C. Yasna,Partido Demócrata Cristiano
85,Sr. Rathgeb S. Jorge,Renovación Nacional
86,Sr. Rincón G. Ricardo,Partido Demócrata Cristiano
87,Sr. Rivas S. Gaspar,Independientes
88,Sr. Robles P. Alberto,Partido Radical Social Demócrata
89,Sr. Rocafull L. Luis,Partido Socialista
90,Sra. Rubilar B. Karla,Independientes
91,Sr. Sabag V. Jorge,Partido Demócrata Cristiano
92,Sra. Sabat F. Marcela,Renovación Nacional
93,Sr. Saffirio E. René,Independientes
94,Sr. Saldívar A. Raúl,Partido Socialista
95,Sr. Sandoval P. David,Unión Demócrata Independiente
96,Sr. Santana T. Alejandro,Renovación Nacional
97,Sr. Schilling R. Marcelo,Partido Socialista
98,Sra. Sepúlveda O. Alejandra,Independientes
99,Sr. Silber R. Gabriel,Partido Demócrata Cristiano
100,Sr. Silva M. Ernesto,Unión Demócrata Independiente
101,Sr. Soto F. Leonardo,Partido Socialista
102,Sr. Squella O. Arturo,Unión Demócrata Independiente
103,Sr. Tarud D. Jorge,Partido Por la Democracia
104,Sr. Teillier D. Guillermo,Partido Comunista
105,Sr. Torres J. Víctor,Partido Demócrata Cristiano
106,Sr. Trisotti M. Renzo,Unión Demócrata Independiente
107,Sr. Tuma Z. Joaquín,Partido Por la Democracia
108,Sra. Turres F. Marisol,Unión Demócrata Independiente
109,Sr. Ulloa A. Jorge,Unión Demócrata Independiente
110,Sr. Urízar M. Christian,Partido Socialista
111,Sr. Urrutia S. Osvaldo,Unión Demócrata Independiente
112,Sr. Urrutia B. Ignacio,Unión Demócrata Independiente
113,Sra. Vallejo D. Camila,Partido Comunista
114,Sr. Vallespín L. Patricio,Partido Demócrata Cristiano
115,Sr. Van Rysselberghe H. Enrique,Unión Demócrata Independiente
116,Sr. Venegas C. Mario,Partido Demócrata Cristiano
117,Sr. Verdugo S. Germán,Renovación Nacional
118,Sr. Walker P. Matías,Partido Demócrata Cristiano
119,Sr. Ward E. Felipe,Unión Demócrata Independiente
